layer,entropy_bits,effective_experts,tokens,total_mass
0,5.791670,55.394484,22455,8570.484001
1,5.819421,56.470313,22455,7353.032570
2,5.769247,54.540146,22455,7899.384710
3,5.722941,52.817399,22455,8393.946518
4,5.759418,54.169856,22455,7813.893410
5,5.815852,56.330811,22455,7802.166748
6,5.740249,53.454859,22455,7911.908051
7,5.759601,54.176720,22455,8294.439148
8,5.835437,57.100718,22455,8751.737709
9,5.850324,57.692992,22455,9629.716843
10,5.884579,59.079220,22455,10594.698990
11,5.831664,56.951580,22455,10841.975372
12,5.829890,56.881592,22455,11547.078938
13,5.744758,53.622182,22455,11656.678211
14,5.797452,55.616929,22455,11713.362837
15,5.853093,57.803817,22455,11696.214394
