layer,entropy_bits,effective_experts,tokens,total_mass
0,4.849264,28.825300,54708,8545.871400
1,4.749669,26.902511,54708,8523.566400
2,4.482524,22.354969,54708,8521.584300
3,4.392007,20.995488,54708,8502.057400
4,4.108847,17.253859,54708,8514.121900
5,4.262067,19.187125,54708,8502.930400
6,4.465249,22.088896,54708,8520.220200
7,4.596599,24.194363,54708,8508.054700
8,4.349507,20.386005,54708,8504.948400
9,4.222913,18.673400,54708,8514.880200
10,3.987870,15.866043,54708,8521.946000
11,4.136528,17.588100,54708,8498.443000
12,4.176705,18.084792,54708,8502.783300
13,4.183086,18.164953,54708,8507.307600
14,4.364956,20.605482,54708,8506.596400
15,4.330962,20.125623,54708,8523.568700
16,4.312494,19.869639,54708,8507.480700
17,3.875883,14.681051,54708,8508.969800
18,4.143244,17.670165,54708,8510.555600
19,4.153810,17.800055,54708,8510.574700
20,3.994047,15.934117,54708,8508.455100
21,3.659059,12.632421,54708,8545.874300
22,3.982686,15.809125,54708,8517.611700
23,3.810662,14.032125,54708,8488.127100
